MSO_IP,MSO_USERNAME,MSO_PASSWORD,SITE_A_NAME,SITE_B_NAME,SCHEMA,TEMPLATE,APP_PROF_NAME,EPG_NAME,VLAN_ID,MODE,POD_ID,NODE_ID,PORT
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0003_169.34.3.0_24_HEQ11-EPG,3,regular,1,123,50
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0110_169.34.24.192_27_HEQ11-EPG,110,native,1,123,50
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0003_169.34.3.0_24_HEQ11-EPG,3,regular,1,117,49
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0110_169.34.24.192_27_HEQ11-EPG,110,native,1,117,49
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0003_169.34.3.0_24_HEQ11-EPG,3,regular,1,117,50
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0110_169.34.24.192_27_HEQ11-EPG,110,native,1,117,50
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0003_169.34.3.0_24_HEQ11-EPG,3,regular,1,117,51
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0110_169.34.24.192_27_HEQ11-EPG,110,native,1,117,51
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0003_169.34.3.0_24_HEQ11-EPG,3,regular,1,117,52
10.173.38.142,ajain372,Dummy,HK1-DC_LAN,HEQ-DC_LAN,HKG_03_HEQ_11-Schm,03_HEQ_11-Temp,03_HEQ_11-AppProf,0110_169.34.24.192_27_HEQ11-EPG,110,native,1,117,52
